id1,id2,weight
119,0,1
376,0,1
33,0,1
374,0,1
470,0,1
264,0,1
342,0,1
415,0,1
113,0,1
108,0,1
8,0,1
69,119,1
358,119,1
389,119,1
494,119,1
409,119,1
309,119,1
287,119,1
367,119,1
156,119,1
59,376,1
153,376,1
191,376,1
463,376,1
490,376,1
381,376,1
444,376,1
1,33,1
8,33,1
30,33,1
285,33,1
481,33,1
123,33,1
404,33,1
169,33,1
111,33,1
40,33,1
120,33,1
8,374,1
50,374,1
51,374,1
248,374,1
259,374,1
273,374,1
281,374,1
324,374,1
343,374,1
15,470,1
48,470,1
80,470,1
121,470,1
126,470,1
149,470,1
217,470,1
219,470,1
226,470,1
158,264,1
193,264,1
451,264,1
373,264,1
316,264,1
378,264,1
403,264,1
299,264,1
422,264,1
17,342,1
116,342,1
118,342,1
162,342,1
209,342,1
224,342,1
287,342,1
296,342,1
423,342,1
432,342,1
455,342,1
69,415,1
101,415,1
155,415,1
207,415,1
290,415,1
414,415,1
419,415,1
465,415,1
421,415,1
2,113,1
49,113,1
98,113,1
472,113,1
446,113,1
263,113,1
277,113,1
43,108,1
92,108,1
271,108,1
496,108,1
490,108,1
487,108,1
299,108,1
227,108,1
466,108,1
234,108,1
282,108,1
373,8,1
203,8,1
168,8,1
237,8,1
442,8,1
16,8,1
320,8,1
457,8,1
452,1,1
217,1,1
151,1,1
44,1,1
384,1,1
327,1,1
141,1,1
478,1,1
195,1,1
123,452,1
208,452,1
259,452,1
263,452,1
315,452,1
350,452,1
351,452,1
485,452,1
455,452,1
53,217,1
61,217,1
89,217,1
159,217,1
489,217,1
386,217,1
46,151,1
53,151,1
66,151,1
211,151,1
443,151,1
367,151,1
160,151,1
157,151,1
353,151,1
393,151,1
405,151,1
341,151,1
5,44,1
188,44,1
397,44,1
84,44,1
175,44,1
262,44,1
235,44,1
359,44,1
467,44,1
115,44,1
443,44,1
352,44,1
447,44,1
194,384,1
370,384,1
383,384,1
492,384,1
391,384,1
64,327,1
163,327,1
174,327,1
196,327,1
200,327,1
228,327,1
257,327,1
293,327,1
427,327,1
345,327,1
366,327,1
379,327,1
6,141,1
106,141,1
121,141,1
328,141,1
332,141,1
331,141,1
448,141,1
441,141,1
197,141,1
155,141,1
356,141,1
438,141,1
18,478,1
160,478,1
256,478,1
259,478,1
263,478,1
491,478,1
11,195,1
73,195,1
243,195,1
464,195,1
208,195,1
268,195,1
402,195,1
344,195,1
495,2,1
258,2,1
416,2,1
76,2,1
15,2,1
300,2,1
5,495,1
19,495,1
31,495,1
59,495,1
84,495,1
93,495,1
270,495,1
286,495,1
320,495,1
389,495,1
397,495,1
398,495,1
441,495,1
466,495,1
477,495,1
496,495,1
18,258,1
57,258,1
105,258,1
114,258,1
199,258,1
233,258,1
247,258,1
474,258,1
307,258,1
368,258,1
319,258,1
373,258,1
382,258,1
344,258,1
34,416,1
35,416,1
91,416,1
235,416,1
386,416,1
427,416,1
28,76,1
32,76,1
466,76,1
97,76,1
430,76,1
191,76,1
343,15,1
413,15,1
115,15,1
473,15,1
391,15,1
361,15,1
493,15,1
387,15,1
215,15,1
109,300,1
111,300,1
231,300,1
289,300,1
388,300,1
456,300,1
345,300,1
432,300,1
429,3,1
357,3,1
335,3,1
257,3,1
92,3,1
295,3,1
161,3,1
302,3,1
394,3,1
17,429,1
143,429,1
178,429,1
197,429,1
203,429,1
270,429,1
310,429,1
338,429,1
345,429,1
360,429,1
449,429,1
464,429,1
28,357,1
86,357,1
145,357,1
155,357,1
163,357,1
356,357,1
425,357,1
364,357,1
35,335,1
190,335,1
247,335,1
283,335,1
449,335,1
343,335,1
408,335,1
45,257,1
47,257,1
181,257,1
209,257,1
245,257,1
306,257,1
464,257,1
292,257,1
147,92,1
333,92,1
159,92,1
325,92,1
200,92,1
471,92,1
480,92,1
12,295,1
71,295,1
102,295,1
104,295,1
243,295,1
319,295,1
458,295,1
372,295,1
443,295,1
45,161,1
102,161,1
156,161,1
344,161,1
248,161,1
191,161,1
260,161,1
347,161,1
367,161,1
28,302,1
63,302,1
68,302,1
122,302,1
125,302,1
176,302,1
242,302,1
436,302,1
434,302,1
354,302,1
26,394,1
51,394,1
93,394,1
107,394,1
124,394,1
149,394,1
159,394,1
277,394,1
317,394,1
166,4,1
390,4,1
395,4,1
205,4,1
162,4,1
386,4,1
313,4,1
280,4,1
5,166,1
81,166,1
116,166,1
316,166,1
304,166,1
301,166,1
236,166,1
271,166,1
201,166,1
353,166,1
209,166,1
16,390,1
60,390,1
110,390,1
131,390,1
206,390,1
249,390,1
278,390,1
289,390,1
340,390,1
457,390,1
430,390,1
488,390,1
123,395,1
224,395,1
232,395,1
237,395,1
242,395,1
366,395,1
417,395,1
426,395,1
78,205,1
82,205,1
105,205,1
146,205,1
165,205,1
246,205,1
479,205,1
375,205,1
57,162,1
66,162,1
74,162,1
104,162,1
125,162,1
369,162,1
319,162,1
371,162,1
43,386,1
121,386,1
196,386,1
447,386,1
460,386,1
393,386,1
14,313,1
17,313,1
190,313,1
200,313,1
206,313,1
210,313,1
245,313,1
248,313,1
272,313,1
273,313,1
358,313,1
9,280,1
10,280,1
31,280,1
59,280,1
152,280,1
